Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_20,Turno_A,3,10,5,18,18,0,0,0,0,804824
Categoria_43,Turno_A,3,11,6,9,0,9,1,0,0,129176
Categoria_12,Turno_A,2,9,6,28,16,12,3,0,0,848688
Categoria_59,Turno_A,3,13,3,26,0,26,2,0,0,596146
Categoria_24,Turno_B,3,14,1,10,0,10,0,0,0,23986
Categoria_35,Turno_A,3,10,2,246,24,222,6,0,0,139312
Categoria_35,Turno_A,2,9,3,251,29,222,21,0,0,139312
Categoria_35,Turno_A,3,11,4,211,2,209,0,0,0,139312
Categoria_12,Turno_B,2,9,5,59,0,59,11,0,0,848688
Categoria_48,Turno_A,3,14,1,20,0,20,20,0,0,311648
Categoria_07,Turno_A,3,10,3,6,0,6,0,0,0,927710
Categoria_05,Turno_A,3,13,2,9,0,9,0,0,0,168338
Categoria_09,Turno_B,3,12,2,92,0,92,6,0,0,22666
Categoria_41,Turno_A,3,13,3,73,0,73,2,0,0,465808
Categoria_07,Turno_A,3,11,2,10,0,10,2,0,0,927710
Categoria_05,Turno_A,3,12,1,25,0,25,1,0,0,168338
Categoria_26,Turno_A,3,10,4,173,38,135,34,0,0,490754
Categoria_65,Turno_B,3,13,3,68,0,68,0,0,0,501234
Categoria_08,Turno_B,3,12,3,20,0,20,0,0,0,310804
Categoria_49,Turno_A,3,10,1,81,0,81,57,0,0,58984
Categoria_52,Turno_B,3,10,4,103,0,103,12,0,0,143767
Categoria_17,Turno_C,3,13,4,8,0,8,0,0,0,312918
Categoria_26,Turno_A,3,12,2,191,53,138,14,0,0,490754
Categoria_41,Turno_A,3,10,1,48,0,48,48,0,0,465808
Categoria_68,Turno_B,2,9,2,64,13,51,49,0,0,995067
Categoria_53,Turno_A,2,9,2,30,13,17,17,0,0,860937
Categoria_53,Turno_B,3,12,2,18,0,18,7,0,0,860937
